"score_review","CarimboTripAdvisor","Patrocinado","Breakfast","WiFi_gratuito","Estacionamento_gratuito","Piscina","Restaurante","Servico_quartos","Tomar_medidas_seguranca","Visitar_website_hotel","logavaliacoes","n_bin_true","CarimboTripAdvisor_x_logavaliacoes"
4.5,1,0,0,1,1,0,0,0,1,0,8.10711747075039,4,8.10711747075039
3.5,0,0,1,1,0,0,1,0,0,0,5.37063802812766,3,0
4.5,0,0,0,1,1,0,0,0,1,0,8.16621626859214,3,0
4.5,1,0,0,1,1,0,0,0,1,1,6.60394382460047,5,6.60394382460047
4.5,0,0,0,1,1,0,0,0,0,1,4.29045944114839,3,0
5,1,0,0,1,1,0,0,0,1,1,5.94803498918065,5,5.94803498918065
4.5,1,0,0,1,1,0,0,0,1,0,7.80261806344267,4,7.80261806344267
4.5,0,0,0,1,1,0,0,0,1,0,7.32646561384032,3,0
4.5,0,0,0,1,1,0,0,0,1,0,8.19505769089508,3,0
5,0,0,0,1,1,0,0,0,1,0,7.43779512167193,3,0
4.5,1,0,0,1,1,0,0,0,1,0,7.32580750259577,4,7.32580750259577
5,1,0,0,1,1,0,0,0,1,0,6.65027904858742,4,6.65027904858742
4.5,0,0,0,1,1,0,0,0,1,0,8.30325712085294,3,0
4.5,0,0,0,1,1,0,0,0,1,0,7.14834574390007,3,0
4.5,0,0,0,1,1,0,0,0,1,0,7.46164039220858,3,0
5,1,0,0,1,1,0,0,0,1,1,6.47850964220857,5,6.47850964220857
4.5,0,0,0,1,1,0,0,0,1,0,7.21229446850034,3,0
5,1,0,1,1,1,0,0,0,1,1,5.78689738136671,6,5.78689738136671
4.5,1,0,0,1,1,0,0,0,1,1,5.84643877505772,5,5.84643877505772
4.5,0,0,0,1,1,0,0,0,1,1,5.30826769740121,4,0
5,0,1,1,1,1,1,1,0,1,0,5.73979291217923,7,0
4,0,0,0,1,1,0,0,0,1,0,5.84354441703136,3,0
4,1,0,0,0,1,1,0,0,1,1,7.95962530509811,5,7.95962530509811
4.5,0,0,1,0,1,1,0,0,1,1,7.55328660560042,5,0
4.5,1,0,0,1,1,0,0,0,1,1,7.72753511047545,5,7.72753511047545
4.5,0,0,0,1,1,0,0,0,1,0,4.93447393313069,3,0
4.5,0,0,1,1,1,0,0,0,1,1,6.30078579466324,5,0
3.5,0,0,0,1,0,1,0,0,0,0,6.32076829425058,2,0
3,0,0,0,0,0,0,1,1,1,0,5.15329159449778,3,0
2.5,0,0,0,1,0,0,1,0,0,0,4.99043258677874,2,0
4.5,1,0,0,0,1,1,0,0,1,1,8.14293601043227,5,8.14293601043227
4.5,0,0,0,1,1,0,0,0,1,1,7.99328232810159,4,0
4.5,0,0,0,1,1,0,0,0,1,0,8.75131624677346,3,0
5,1,0,0,1,1,0,0,0,1,1,7.21670948670946,5,7.21670948670946
