"variavel","n_missing","pct_missing"
"score_review",0,0
"CarimboTripAdvisor",0,0
"Patrocinado",0,0
"Breakfast",0,0
"WiFi_gratuito",0,0
"Estacionamento_gratuito",0,0
"Piscina",0,0
"Restaurante",0,0
"Servico_quartos",0,0
"Praia",0,0
"Bar_lounge",0,0
"Tomar_medidas_seguranca",0,0
"Visitar_website_hotel",0,0
"logavaliacoes",0,0
