"variavel","n_unicos"
"CarimboTripAdvisor",2
"Patrocinado",2
"Breakfast",2
"WiFi_gratuito",2
"Estacionamento_gratuito",2
"Piscina",2
"Restaurante",2
"Servico_quartos",2
"Praia",2
"Bar_lounge",2
"Tomar_medidas_seguranca",2
"Visitar_website_hotel",2
"score_review",6
"logavaliacoes",431
